set output "plot4.txt"

set xlabel 'Time (s)'
set ylabel 'rxPower (dBm)'
set key center right
splot "-"  title "txPower 20dBm", -94.0 title "-94 dBm CSThreshold"
0 6.21408 15.0887
0.001 21.0772 5.16401
0.002 19.5548 18.8121
0.003 21.1491 20.0887
0.004 22.2416 22.7986
0.005 5.82504 19.0395
0.006 8.60371 10.0688
0.007 20.0424 13.4243
0.008 21.0396 20.2228
0.009 19.1723 18.0671
0.01 15.5162 3.4929
0.011 15.0522 24.0967
0.012 5.32742 18.6103
0.013 24.135 18.3968
0.014 22.4026 19.6266
0.015 22.6707 19.0192
0.016 21.7108 20.9788
0.017 14.7623 18.2721
0.018 15.2612 19.5704
0.019 18.1899 26.5048
0.02 20.4199 18.5302
0.021 20.6266 20.0677
0.022 15.9186 17.0138
0.023 22.5104 18.1202
0.024 18.7138 23.0045
0.025 21.4505 21.583
0.026 23.8797 20.8242
0.027 27.322 20.6011
0.028 20.8576 10.8128
0.029 12.4618 8.52088
0.03 19.1185 23.4728
0.031 26.2167 13.2378
0.032 18.1279 18.3548
0.033 22.3408 14.0555
0.034 20.7042 24.0721
0.035 18.9571 17.3974
0.036 11.9215 13.2962
0.037 7.57179 14.6501
0.038 18.9076 16.0994
0.039 20.6291 0.955927
0.04 4.72225 17.3792
0.041 20.3494 22.7662
0.042 19.6241 8.23771
0.043 20.023 21.5
0.044 22.2317 16.6006
0.045 15.0932 23.8887
0.046 24.247 13.7932
0.047 23.2512 22.1835
0.048 18.9256 19.0813
0.049 23.3017 21.44
0.05 20.7846 11.4948
0.051 20.6855 19.5051
0.052 22.0045 17.5536
0.053 15.5955 21.9867
0.054 13.6675 23.4232
0.055 17.7351 21.9278
0.056 7.6404 13.7158
0.057 18.8265 20.7497
0.058 10.2491 10.1604
0.059 12.533 18.5828
0.06 24.8272 16.2804
0.061 14.5615 17.7856
0.062 22.2942 13.2463
0.063 16.1069 10.9848
0.064 18.452 25.9467
0.065 20.5709 13.1538
0.066 14.6398 15.9192
0.067 17.9983 24.8743
0.068 13.9959 14.9538
0.069 21.7693 19.8943
0.07 20.0701 15.7682
0.071 15.3796 20.165
0.072 14.6519 24.9486
0.073 20.7745 15.8526
0.074 12.9937 14.401
0.075 7.20919 20.2547
0.076 7.09237 15.6695
0.077 14.5395 10.948
0.078 21.4045 15.5764
0.079 15.8737 20.1875
0.08 19.7658 22.7223
0.081 15.6082 14.4571
0.082 17.3238 13.571
0.083 19.8692 17.7432
0.084 24.0423 16.727
0.085 24.3697 2.96225
0.086 21.7081 17.9624
0.087 17.6024 18.9978
0.088 20.5372 7.76406
0.089 19.4257 21.1117
0.09 17.0527 19.9188
0.091 25.1404 25.8576
0.092 23.0258 10.8387
0.093 19.9097 23.8539
0.094 9.31634 11.5698
0.095 21.1623 19.0975
0.096 20.3763 20.3513
0.097 21.6464 22.6265
0.098 16.6505 5.84357
0.099 12.8021 19.6215
0.1 15.8578 15.6703
0.101 18.2109 25.2681
0.102 18.1773 13.8876
0.103 18.4594 14.6064
0.104 3.42675 4.52671
0.105 17.8935 16.9763
0.106 17.391 19.9612
0.107 22.6811 17.4785
0.108 22.5091 24.2067
0.109 21.7106 14.7682
0.11 6.42664 17.4485
0.111 19.8661 18.3071
0.112 10.1498 24.6507
0.113 21.8731 13.1442
0.114 19.8263 17.9974
0.115 19.2912 11.3268
0.116 18.982 20.4168
0.117 9.33412 14.9247
0.118 17.1372 18.7412
0.119 24.9844 18.7104
0.12 6.71063 16.3813
0.121 15.214 24.6193
0.122 17.5307 20.7078
0.123 22.5777 16.3436
0.124 21.8024 21.4804
0.125 22.2293 17.7432
0.126 10.5746 12.3169
0.127 23.5391 12.7909
0.128 20.0853 22.3448
0.129 -1.98352 19.3961
0.13 18.4451 21.6168
0.131 19.9965 23.5519
0.132 20.3154 11.2852
0.133 12.1757 20.6751
0.134 14.822 21.3036
0.135 17.5329 19.2522
0.136 12.2347 19.9005
0.137 14.3731 18.442
0.138 19.7948 21.0368
0.139 22.5425 16.6714
0.14 13.3142 22.1897
0.141 23.5401 23.724
0.142 -3.38404 3.04655
0.143 19.7375 23.3135
0.144 0.610249 21.1586
0.145 19.3415 15.0608
0.146 24.2569 21.2657
0.147 23.7912 26.0357
0.148 13.4338 23.2523
0.149 18.6283 23.6326
0.15 17.6252 20.2466
0.151 16.2687 20.8028
0.152 22.717 23.8708
0.153 15.9378 15.6816
0.154 22.1958 18.374
0.155 12.4011 16.855
0.156 24.176 21.4374
0.157 16.9944 13.6451
0.158 19.8102 20.1922
0.159 22.6996 18.1212
0.16 17.7047 19.4028
0.161 13.4171 19.3297
